Row Labels,Average of RTD Actual Load
1-Jan,5174.384321
12:00 AM,4912.181818
1:00 AM,4782.291667
2:00 AM,4639.833333
3:00 AM,4522.441667
4:00 AM,4460.575
5:00 AM,4490.233333
6:00 AM,4596.716667
7:00 AM,4702.108333
8:00 AM,4813.458333
9:00 AM,4978.158333
10:00 AM,5098.958333
11:00 AM,5218.791667
12:00 PM,5374.716667
1:00 PM,5470.483333
2:00 PM,5501.991667
3:00 PM,5556.358333
4:00 PM,5663.733333
5:00 PM,5853.8
6:00 PM,5866.033333
7:00 PM,5822.408333
8:00 PM,5736.925
9:00 PM,5618.6
10:00 PM,5390.283333
11:00 PM,5092.291667
2-Jan,5658.107986
12:00 AM,4832.575
1:00 AM,4658.208333
2:00 AM,4548.166667
3:00 AM,4498.775
4:00 AM,4541.3
5:00 AM,4742.675
6:00 AM,5206.883333
7:00 AM,5710.591667
8:00 AM,6004.75
9:00 AM,6152.591667
10:00 AM,6204.333333
11:00 AM,6212.833333
12:00 PM,6216.825
1:00 PM,6235.791667
2:00 PM,6182.833333
3:00 PM,6203.833333
4:00 PM,6295.8
5:00 PM,6474.283333
6:00 PM,6371.85
7:00 PM,6196.066667
8:00 PM,5994.816667
9:00 PM,5769.741667
10:00 PM,5455.05
11:00 PM,5084.016667
3-Jan,5563.966667
12:00 AM,4765.235714
1:00 AM,4543.275
2:00 AM,4402.508333
3:00 AM,4332.258333
4:00 AM,4340.183333
5:00 AM,4540.366667
6:00 AM,5000.2
7:00 AM,5492.441667
8:00 AM,5857.407143
9:00 AM,6081.091667
10:00 AM,6190.591667
11:00 AM,6230.616667
12:00 PM,6252.75
1:00 PM,6232.241667
2:00 PM,6210.366667
3:00 PM,6207.65
4:00 PM,6276.408333
5:00 PM,6374.328571
6:00 PM,6216.608333
7:00 PM,6031.341667
8:00 PM,5836
9:00 PM,5634.125
10:00 PM,5364.108333
11:00 PM,5072.25
4-Jan,5121.435069
12:00 AM,4765.133333
1:00 AM,4551.283333
2:00 AM,4408.041667
3:00 AM,4316.241667
4:00 AM,4290.791667
5:00 AM,4343.616667
6:00 AM,4496.433333
7:00 AM,4732.166667
8:00 AM,4951.891667
9:00 AM,5190.35
10:00 AM,5391.108333
11:00 AM,5513.858333
12:00 PM,5555.466667
1:00 PM,5547.633333
2:00 PM,5523.691667
3:00 PM,5503.375
4:00 PM,5556.308333
5:00 PM,5698.983333
6:00 PM,5693.575
7:00 PM,5628.916667
8:00 PM,5526.416667
9:00 PM,5418.391667
10:00 PM,5260.483333
11:00 PM,5050.283333
5-Jan,5161.67973
12:00 AM,4652.016667
1:00 AM,4436.9
2:00 AM,4458.585714
3:00 AM,4400.966667
4:00 AM,4385.516667
5:00 AM,4439.941667
6:00 AM,4559.416667
7:00 AM,4714.075
8:00 AM,4916.391667
9:00 AM,5127.358333
10:00 AM,5269.516667
11:00 AM,5368.366667
12:00 PM,5455.735714
1:00 PM,5472.616667
2:00 PM,5502.525
3:00 PM,5532.741667
4:00 PM,5652.116667
5:00 PM,5905.55
6:00 PM,5944.566667
7:00 PM,5896.916667
8:00 PM,5806
9:00 PM,5649.975
10:00 PM,5403.75
11:00 PM,5077.391667
6-Jan,5767.748837
12:00 AM,4814.291667
1:00 AM,4673.908333
2:00 AM,4564.633333
3:00 AM,4512.916667
4:00 AM,4552.891667
5:00 AM,4783.316667
6:00 AM,5258.075
7:00 AM,5792.9
8:00 AM,6123.591667
9:00 AM,6348.464286
10:00 AM,6436.85
11:00 AM,6404.992308
12:00 PM,6333.975
1:00 PM,6347.771429
2:00 PM,6297.683333
3:00 PM,6328.15
4:00 PM,6402.05
5:00 PM,6571.15
6:00 PM,6481.508333
7:00 PM,6321.475
8:00 PM,6124.875
9:00 PM,5896.3
10:00 PM,5564.633333
11:00 PM,5194.48125
7-Jan,5698.762414
12:00 AM,4846.578571
1:00 AM,4626.041667
2:00 AM,4499.108333
3:00 AM,4445.666667
4:00 AM,4477.575
5:00 AM,4707.941667
6:00 AM,5207.666667
7:00 AM,5746.783333
8:00 AM,6067.833333
9:00 AM,6210.975
10:00 AM,6242.508333
11:00 AM,6257.608333
12:00 PM,6264.133333
1:00 PM,6246.4
2:00 PM,6252.466667
3:00 PM,6325.225
4:00 PM,6464.208333
5:00 PM,6575.866667
6:00 PM,6448.658333
7:00 PM,6305.775
8:00 PM,6118.691667
9:00 PM,5871.266667
10:00 PM,5535.125
11:00 PM,5168.225
8-Jan,5824.459184
12:00 AM,4856.075
1:00 AM,4654.183333
2:00 AM,4535.483333
3:00 AM,4484.916667
4:00 AM,4525.016667
5:00 AM,4758.5
6:00 AM,5254.8
7:00 AM,5848.216667
8:00 AM,6173.864286
9:00 AM,6347.283333
10:00 AM,6344.191667
11:00 AM,6345.066667
12:00 PM,6337.891667
1:00 PM,6330.075
2:00 PM,6326
3:00 PM,6405.6
4:00 PM,6564.483333
5:00 PM,6756.575
6:00 PM,6697.933333
7:00 PM,6570.783333
8:00 PM,6408.35
9:00 PM,6182.508333
10:00 PM,5856.458333
11:00 PM,5478.491667
9-Jan,6027.288581
12:00 AM,5163.641667
1:00 AM,4966.916667
2:00 AM,4846.508333
3:00 AM,4796.5
4:00 AM,4826.55
5:00 AM,5046.616667
6:00 AM,5565.741667
7:00 AM,6121.366667
8:00 AM,6432.708333
9:00 AM,6588.483333
10:00 AM,6603.916667
11:00 AM,6605.95
12:00 PM,6582.15
1:00 PM,6568.791667
2:00 PM,6542.191667
3:00 PM,6573.3
4:00 PM,6704.316667
5:00 PM,6863.766667
6:00 PM,6767.3
7:00 PM,6600.45
8:00 PM,6409.633333
9:00 PM,6152.657143
10:00 PM,5815.791667
11:00 PM,5439.827273
10-Jan,5723.599663
12:00 AM,5082.116667
1:00 AM,4858.116667
2:00 AM,4720.05
3:00 AM,4647.266667
4:00 AM,4650.033333
5:00 AM,4870.921429
6:00 AM,5333.275
7:00 AM,5857.108333
8:00 AM,6146.575
9:00 AM,6354.191667
10:00 AM,6426.375
11:00 AM,6446.616667
12:00 PM,6401.4
1:00 PM,6295.625
2:00 PM,6233.246154
3:00 PM,6216.941667
4:00 PM,6285.676923
5:00 PM,6391.092308
6:00 PM,6253.75
7:00 PM,6058.875
8:00 PM,5859.925
9:00 PM,5644.292857
10:00 PM,5346.242857
11:00 PM,5059.966667
11-Jan,5002.342177
12:00 AM,4760.05
1:00 AM,4542
2:00 AM,4384.958333
3:00 AM,4304.775
4:00 AM,4280.8
5:00 AM,4329.757143
6:00 AM,4480.7
7:00 AM,4690.666667
